Institution Code (six-digit OPEID),Institution Name,City,State,Zip,Institution Type,CIP Code,CIP Name,Credential Level,Official Program Pass/Zone/Fail,Appeal Status,Debt-to-Earnings Annual Rate,Debt-to-Earnings Annual Rate Numerator,Debt-to-Earnings Annual Rate Denominator,Debt-to-Earnings Annual Rate Pass/Fail/Zone,Debt-to-Earnings Discretionary Income Rate,Debt-to-Earnings Discretionary Income Rate Numerator,Debt-to-Earnings Discretionary Income Rate Denominator,Debt-to-Earnings Discretionary Income Rate Pass/Fail/Zone,Debt-to-Earnings Transitional Rate,Debt-to-Earnings Transitional Rate Numerator,Debt-to-Earnings Transitional Rate Denominator,Debt-to-Earnings Transitional Rate Pass/Fail/Zone,Debt-to-Earnings Transitional Discretionary Income Rate,Debt-to-Earnings Transitional Discretionary Income Rate Numerator,Debt-to-Earnings Transitional Discretionary Income Rate Denominator,Debt-to-Earnings Transitional Discretionary Income Rate Pass/Fail/Zone,Mean  Annual Earnings,Median Annual Earnings
001007,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,350100000,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,2.5,879,35061,PASS,5.04,879,17406,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32617,35061
001013,CALHOUN COMMUNITY COLLEGE,TANNER,AL,356710000,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0.78,243,31071,PASS,1.81,243,13416,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26219,31071
001017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,359032269,PUBLIC 2 TO 3 YEARS,120401,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,12114,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12114,11605
001017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,359032269,PUBLIC 2 TO 3 YEARS,480508,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,29702,PASS,0,0,12047,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29104,29702
001017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,359032269,PUBLIC 2 TO 3 YEARS,510909,SURGICAL TECHNOLOGY/TECHNOLOGIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,23598,PASS,0,0,5943,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21605,23598
001017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,359032269,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,30352,PASS,0,0,12697,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28794,30352
001018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,363030943,PUBLIC 2 TO 3 YEARS,120401,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,9496,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9496,8735
001018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,363030943,PUBLIC 2 TO 3 YEARS,480508,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,37386,PASS,0,0,19731,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35520,37386
001018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,363030943,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,30467,PASS,0,0,12812,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30424,30467
001021,JEFFERSON DAVIS COMMUNITY COLLEGE,BREWTON,AL,364272790,PUBLIC 2 TO 3 YEARS,480508,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,31817,PASS,0,0,14162,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31817,31059
